order_id,order_date,status,item_id,sku,qty_ordered,price,value,discount_amount,total,category,payment_method,bi_st,cust_id,year,month,Name Prefix,Gender,age,Customer Since,County,City,State,Zip,Region,Discount_Percent
100445581,16/02/2021,complete,730939,APPANE5A584FF945176,2,306.9,306.9,0,306.9,Appliances,cod,Net,31663,2021,Feb-21,Mrs.,F,26,6/27/2006,Searcy,Gilbert,AR,72636,South,0
100445581,16/02/2021,complete,730940,HALCLI5A1EA4DECC6C9,2,34.7,34.7,0,34.7,Home & Living,cod,Net,31663,2021,Feb-21,Mrs.,F,26,6/27/2006,Searcy,Gilbert,AR,72636,South,0
100445581,16/02/2021,complete,730941,HALDYN5A00299858EA6,2,35,35,0,35,Home & Living,cod,Net,31663,2021,Feb-21,Mrs.,F,26,6/27/2006,Searcy,Gilbert,AR,72636,South,0
100446643,22/02/2021,complete,732849,APPPHI59FADFA46C15E,2,249.8,249.8,0,249.8,Appliances,cod,Net,31663,2021,Feb-21,Mrs.,F,26,6/27/2006,Searcy,Gilbert,AR,72636,South,0
100446643,22/02/2021,complete,732850,APPANE59D4925C945DB,2,992.6,992.6,0,992.6,Appliances,cod,Net,31663,2021,Feb-21,Mrs.,F,26,6/27/2006,Searcy,Gilbert,AR,72636,South,0
100452625,19/03/2021,complete,744542,HALTOP5A6FF77ED14C3,2,49.9,49.9,0,49.9,Home & Living,cod,Net,31663,2021,Mar-21,Mrs.,F,26,6/27/2006,Searcy,Gilbert,AR,72636,South,0
100452625,19/03/2021,complete,744543,HALSYC5A7025B924B46,2,59.9,59.9,0,59.9,Home & Living,cod,Net,31663,2021,Mar-21,Mrs.,F,26,6/27/2006,Searcy,Gilbert,AR,72636,South,0
100487522,25/04/2021,complete,794761,APPWES59CA4DBD1A5DE,2,157.6,157.6,0,157.6,Appliances,cod,Net,31663,2021,Apr-21,Mrs.,F,26,6/27/2006,Searcy,Gilbert,AR,72636,South,0
100445584,16/02/2021,canceled,730946,BAGSHA59EDFF487D25D,2,69.8,69.8,0,69.8,Beauty & Grooming,Easypay,Gross,85337,2021,Feb-21,Mrs.,F,28,06/03/2014,Merrimack,Franklin,NH,3235,Northeast,0
100445584,16/02/2021,canceled,730947,BAGCHA5A1EA3ABC09E1,2,39.4,39.4,0,39.4,Beauty & Grooming,Easypay,Gross,85337,2021,Feb-21,Mrs.,F,28,06/03/2014,Merrimack,Franklin,NH,3235,Northeast,0
100446857,23/02/2021,complete,733238,BAGSHA59EDFF487D25D,2,69.8,69.8,0,69.8,Beauty & Grooming,cod,Net,85337,2021,Feb-21,Mrs.,F,28,06/03/2014,Merrimack,Franklin,NH,3235,Northeast,0
100446857,23/02/2021,complete,733239,MEFWIN5A263D75D929B,2,49.9,49.9,0,49.9,Men's Fashion,cod,Net,85337,2021,Feb-21,Mrs.,F,28,06/03/2014,Merrimack,Franklin,NH,3235,Northeast,0
100445587,16/02/2021,complete,730951,MATHUA5A4625234D6B3,2,2999.9,2999.9,0,2999.9,Mobiles & Tablets,cod,Net,5776,2021,Feb-21,Ms.,F,33,09/03/2014,Ashe,Warrensville,NC,28693,South,0
100445587,16/02/2021,complete,730952,MATHUA5A3777AE20DF5,2,19.9,19.9,0,19.9,Mobiles & Tablets,cod,Net,5776,2021,Feb-21,Ms.,F,33,09/03/2014,Ashe,Warrensville,NC,28693,South,0
100445591,16/02/2021,complete,730957,APPHAI5A0A0241ED154,2,4104.2,4104.2,0,4104.2,Appliances,cod,Net,85338,2021,Feb-21,Prof.,M,74,7/30/1999,Delaware,Bovina Center,NY,13740,Northeast,0
100445596,16/02/2021,received,730966,HASRAJ59AC85A0CD3E0,2,139.4,139.4,0,139.4,Health & Sports,cod,Valid,85339,2021,Feb-21,Ms.,F,25,12/07/2009,West Carroll,Kilbourne,LA,71253,South,0
100445596,16/02/2021,received,730967,KABNAD59E0ABDFF21EA,2,16.5,16.5,0,16.5,Kids & Baby,cod,Valid,85339,2021,Feb-21,Ms.,F,25,12/07/2009,West Carroll,Kilbourne,LA,71253,South,0
100445722,17/02/2021,canceled,731191,MATMY5A4A25654B737,3,4.2,8.4,0,8.4,Mobiles & Tablets,cod,Gross,85339,2021,Feb-21,Ms.,F,25,12/07/2009,West Carroll,Kilbourne,LA,71253,South,0
100445722,17/02/2021,canceled,731192,MATMY5A4A254506FD4,3,5.4,10.8,0,10.8,Mobiles & Tablets,cod,Gross,85339,2021,Feb-21,Ms.,F,25,12/07/2009,West Carroll,Kilbourne,LA,71253,South,0
100445722,17/02/2021,canceled,731193,MATOPP5A377845815A1,3,7.5,15,0,15,Mobiles & Tablets,cod,Gross,85339,2021,Feb-21,Ms.,F,25,12/07/2009,West Carroll,Kilbourne,LA,71253,South,0
100445722,17/02/2021,canceled,731194,MATINF5A01A9F24E113,2,13.5,13.5,0,13.5,Mobiles & Tablets,cod,Gross,85339,2021,Feb-21,Ms.,F,25,12/07/2009,West Carroll,Kilbourne,LA,71253,South,0
100445722,17/02/2021,canceled,731195,MEFGEN59D29B9B423D8-11,2,211.9,211.9,0,211.9,Men's Fashion,cod,Gross,85339,2021,Feb-21,Ms.,F,25,12/07/2009,West Carroll,Kilbourne,LA,71253,South,0
100447565,27/02/2021,complete,734384,WOFALK59ACD24AA9CA8,2,180,180,0,180,Women's Fashion,cod,Net,85339,2021,Feb-21,Ms.,F,25,12/07/2009,West Carroll,Kilbourne,LA,71253,South,0
